Entity1,Relation,Entity2
Prince of Wales,was,Son
Prince of Wales,was,Husband
Prince of Wales,was,Father
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
Albert,had,Chronic stomach trouble
Albert,had,Typhoid fever
Typhoid fever,was,Cause of death
Typhoid fever,was,Illness
William Jenner,was,Medical professional
William Jenner,was,Doctor
William Jenner,diagnosed,Albert
William Jenner,treated,Albert
Albert,was,Patient
"NTB)
31. Namibia",has,"Parliament
32. Namibia Tourism Board (NTB"
NTB),regulates,"tourism industry
34. Namibia Tourism Board (NTB"
"NATOUSA)
47. North African Theater of Operations (NATOUSA)",had,"Supreme Commander
48. North African Theater of Operations (NATOUSA"
"Furman v. Georgia)
3. 1960",Capital Punishment,Restarted (in 1978
"125 inmates)
6. 2000",Capital Punishment,"Restarted
7. Tennessee, Capital Punishment, Executed (six prisoners"
"73 prisoners)
9. August 2013",The Irish Sun,Page 3 (ended topless models
"topless models)
11. The Times",The Irish Sun,Followed (ended topless models
"returned to usual format)
13. The Times",January 2015,The Irish Sun (reported change in editorial policy
R),"Isomorphic (modular lattice)
15. von Neumann","L, Isomorphic (complemented modular lattice"
"future generations)
19. Germany",Kerrison Predictor,Introduced (similar predictor systems
"large distances)
21. Agrobacterium tumefaciens",Plant Cells,Infect (crown gall disease
"Nif gene introduction)
24. Nif gene",Legumes,"Nitrogen Fixation
25. Ti plasmid, Nif gene, Natural Vector
26. Ottoman Empire, Bashi-bazouks, Suppressed (Bulgarian uprising"
"1878)
28. Austria-Hungary",Ottoman Empire,Occupied (Bosnia-Herzegovina and Novi Pazar
"laid out in 1811)
30. Alexander Ellis",Hermann von Helmholtz,Work (similar to existing work
"lent a copy)
32. Nasser",Syria,Unification (demanded with Egypt
"demanded with Syria)
34. Syria",Nasser,Unification (demanded with Egypt
"opted for)
36. Syria",Nasser,Communist Takeover (impending
"grid plan does not extend)
38. Commissioners' Plan",East Village,Grid Plan (laid out in 1811
"consequent slide to)
40. Germany",Hermann von Helmholtz,Work (similar to existing work
"similar to existing work)
42. The Sensations of Tone",Hermann von Helmholtz,Work (lent a copy to Alexander Ellis
